tree_id,gmin_id,time,weight,date,
125,19,15:43,0.5549,10/30/2024,
131,20,15:44,1.2611,10/30/2024,
123,21,15:44,0.8943,10/30/2024,
103,22,15:44,0.6883,10/30/2024,
126,23,15:45,0.5834,10/30/2024,
95,24,15:46,0.8877,10/30/2024,
104,25,15:46,1.0474,10/30/2024,
102,26,15:47,0.6506,10/30/2024,
114,27,15:47,1.0587,10/30/2024,
2384,28,15:47,1.1092,10/30/2024,
2382,29,15:48,1.2278,10/30/2024,
2353,30,15:48,3.1939,10/30/2024,
121,31,15:49,0.6635,10/30/2024,
122,32,15:49,0.8262,10/30/2024,
2381,33,15:49,0.6277,10/30/2024,
2011,34,15:49,0.5888,10/30/2024,
100,1,16:02,1.7319,10/30/2024,
2345,2,16:03,1.9014,10/30/2024,
2010,3,16:03,0.6133,10/30/2024,
127,4,16:03,1.4385,10/30/2024,
118,5,16:04,0.6159,10/30/2024,
134,6,16:04,1.1991,10/30/2024,
132,7,16:04,0.9933,10/30/2024,
2301,8,16:05,1.3676,10/30/2024,
2352,9,16:05,2.6288,10/30/2024,
115,10,16:06,0.9167,10/30/2024,
106,11,16:06,0.271,10/30/2024,
110,12,16:07,0.9835,10/30/2024,
116,13,16:07,1.2332,10/30/2024,
2354,14,16:07,1.5476,10/30/2024,
135,15,16:08,0.5609,10/30/2024,
105,16,16:08,1.3077,10/30/2024,
120,17,16:08,0.8082,10/30/2024,
101,18,16:09,1.8375,10/30/2024,
125,19,16:09,0.5496,10/30/2024,
131,20,16:09,1.2588,10/30/2024,
123,21,16:09,0.878,10/30/2024,
103,22,16:10,0.6875,10/30/2024,
126,23,16:10,0.5764,10/30/2024,
95,24,16:10,0.8861,10/30/2024,
104,25,16:11,1.0454,10/30/2024,
102,26,16:11,0.6493,10/30/2024,
114,27,16:11,1.0563,10/30/2024,
2384,28,16:12,1.0992,10/30/2024,
2382,29,16:12,1.2164,10/30/2024,
2353,30,16:12,3.1879,10/30/2024,
121,31,16:13,0.6619,10/30/2024,
122,32,16:13,0.8173,10/30/2024,
2381,33,16:13,0.6215,10/30/2024,
2011,34,16:14,0.5877,10/30/2024,
79_1,1,10:17,0.5466,11/18/2024,
77_1,2,10:17,3.0124,11/18/2024,
66_1,3,10:18,1.8432,11/18/2024,
76_2,4,10:19,2.1998,11/18/2024,
78_1,5,10:19,1.1914,11/18/2024,
68_2,6,10:19,1.4692,11/18/2024,
74_2,7,10:20,2.4336,11/18/2024,
74_1,8,10:20,3.1636,11/18/2024,
68_1,9,10:21,0.8836,11/18/2024,
65_2,10,10:21,4.2798,11/18/2024,
72_1,11,10:22,1.6196,11/18/2024,
65_1,12,10:23,1.5516,11/18/2024,
78_2,13,10:23,2.0491,11/18/2024,
73_2,14,10:24,2.001,11/18/2024,
76_1,15,10:25,2.0871,11/18/2024,
79_2,16,10:27,2.0519,11/18/2024,
70_2,17,10:28,1.8723,11/18/2024,
77_2,18,10:30,1.3215,11/18/2024,
86_1,19,10:31,1.513,11/18/2024,
73_1,20,10:33,1.512,11/18/2024,
86_2,21,10:33,2.0908,11/18/2024,
66_2,22,10:34,0.9921,11/18/2024,
72_2,23,10:35,2.7813,11/18/2024,
86_1,24,10:36,1.5807,11/18/2024,
79_1,1,10:42,0.5446,11/18/2024,
77_1,2,10:43,2.9994,11/18/2024,
66_1,3,10:44,1.8289,11/18/2024,
76_2,4,10:45,2.1904,11/18/2024,
78_1,5,10:45,1.135,11/18/2024,
68_2,6,10:46,1.4494,11/18/2024,
74_2,7,10:47,2.4258,11/18/2024,
74_1,8,10:47,3.1533,11/18/2024,
68_1,9,10:47,0.8773,11/18/2024,
65_2,10,10:48,4.2318,11/18/2024,
72_1,11,10:49,1.6146,11/18/2024,
65_1,12,10:49,1.5431,11/18/2024,
78_2,13,10:50,2.0057,11/18/2024,
73_2,14,10:50,1.9705,11/18/2024,
76_1,15,10:51,2.0677,11/18/2024,
79_2,16,10:51,2.0245,11/18/2024,
70_2,17,10:52,1.808,11/18/2024,
77_2,18,10:52,1.2622,11/18/2024,
86_1,19,10:53,1.5001,11/18/2024,
73_1,20,10:53,0.6161,11/18/2024,
86_2,21,10:54,2.0557,11/18/2024,
66_2,22,10:54,0.9663,11/18/2024,
72_2,23,10:55,2.7774,11/18/2024,
86_1,24,10:55,1.3523,11/18/2024,
79_1,1,11:04,0.5432,11/18/2024,
77_1,2,11:04,2.9905,11/18/2024,
66_1,3,11:05,1.8192,11/18/2024,
76_2,4,11:05,2.1828,11/18/2024,
78_1,5,11:06,1.0976,11/18/2024,
68_2,6,11:07,1.4345,11/18/2024,
74_2,7,11:07,2.4206,11/18/2024,
74_1,8,11:08,3.1461,11/18/2024,
68_1,9,11:08,0.8722,11/18/2024,
65_2,10,11:09,4.1979,11/18/2024,
72_1,11,11:09,1.6111,11/18/2024,
65_1,12,11:09,1.5368,11/18/2024,
78_2,13,11:10,1.9757,11/18/2024,
73_2,14,11:11,1.9643,11/18/2024,
76_1,15,11:12,2.0577,11/18/2024,
79_2,16,11:12,2.0181,11/18/2024,
70_2,17,11:13,1.7609,11/18/2024,
77_2,18,11:14,1.2341,11/18/2024,
86_1,19,11:14,1.4914,11/18/2024,
73_1,20,11:15,0.6013,11/18/2024,
86_2,21,11:16,1.9491,11/18/2024,
66_2,22,11:17,0.9639,11/18/2024,
72_2,23,11:17,2.7725,11/18/2024,
86_1,24,11:17,1.2958,11/18/2024,
79_1,1,11:27,0.5417,11/18/2024,
