"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
326.427631593057,"quag_kleaf","76_3",-2,"quag_kleaf 76_3 -2 MPa","quag_kleaf 76_3",89.15,2.65,-0.00789503659786465,0.99997466860268,-0.703842512699633,-0.127612690699172,"v18",0
326.429796600739,"quag_kleaf","78_3",-2,"quag_kleaf 78_3 -2 MPa","quag_kleaf 78_3",177.04,1.53,-0.00961947028364741,0.999999948898117,-1.70303101901694,-0.926296056782855,"v18",0
326.464857363149,"quag_kleaf","66_3",-2,"quag_kleaf 66_3 -2 MPa","quag_kleaf 66_3",85.71,1.9,-0.00240454650748569,0.994051545598779,-0.206093681156598,-0.0726888157253798,"v18",0
326.46980767587,"quag_kleaf","86_3",-2,"quag_kleaf 86_3 -2 MPa","quag_kleaf 86_3",72.37,2.13,-0.0471618293416689,0.997458708617603,-3.41310158945658,-0.957855785645386,"v18",0
326.506871771274,"quag_kleaf","65_3",-2,"quag_kleaf 65_3 -2 MPa","quag_kleaf 65_3",45.02,1.69,-0.00160802765368386,0.978734450308369,-0.0723934049688475,-0.0322727306412113,"v18",0
326.510408426805,"quag_kleaf","73_3",-2,"quag_kleaf 73_3 -2 MPa","quag_kleaf 73_3",68.14,2.02,-0.0133223091317215,0.998047031420883,-0.907782144235502,-0.283262455652662,"v18",0
326.600793490697,"quag_kleaf","79_3",-2,"quag_kleaf 79_3 -2 MPa","quag_kleaf 79_3",62.68,2.1,-0.00421714494925153,0.998797119611552,-0.264330645419086,-0.0763166055857027,"v18",0
326.601410942025,"quag_kleaf","77_3",-2,"quag_kleaf 77_3 -2 MPa","quag_kleaf 77_3",31.16,1.25,-0.0131897491016824,0.997659823847142,-0.410992582008423,-0.334906885123798,"v18",0
326.645055079201,"quag_kleaf","72_3",-2,"quag_kleaf 72_3 -2 MPa","quag_kleaf 72_3",55.95,1.85,-0.00947105719237367,0.955922987904015,-0.529905649913307,-0.197135669378586,"v18",0
326.645793682199,"quag_kleaf","68_3",-2,"quag_kleaf 68_3 -2 MPa","quag_kleaf 68_3",36.24,1.51,-0.00871734793121485,0.927913887834094,-0.315916689027226,-0.176412271966697,"v18",0
326.685887288749,"quag_kleaf","134_2",-2,"quag_kleaf 134_2 -2 MPa","quag_kleaf 134_2",19.14,1.34,-0.00389568111219024,0.999999041780846,-0.0745633364873212,-0.0528720141473889,"v18",0
326.693155101596,"quag_kleaf","132_2",-2,"quag_kleaf 132_2 -2 MPa","quag_kleaf 132_2",39.66,1.76,-0.00506475583558426,0.953017547853028,-0.200868216439272,-0.0825650040195321,"v18",0
326.737599593947,"quag_kleaf","101_2",-2,"quag_kleaf 101_2 -2 MPa","quag_kleaf 101_2",43.51,1.67,-0.00483020882193703,0.972814301275627,-0.21016238584248,-0.0959471693035014,"v18",0
326.745289264366,"quag_kleaf","134_1",-2,"quag_kleaf 134_1 -2 MPa","quag_kleaf 134_1",67.54,1.87,-0.00922480761348277,0.964267045231254,-0.623043506214626,-0.226853393063259,"v18",0
326.775318656887,"quag_kleaf","103_1",-2,"quag_kleaf 103_1 -2 MPa","quag_kleaf 103_1",48.17,2.06,-0.00181597266100652,0.924361355908231,-0.0874754030806843,-0.0262459096978922,"v18",0
326.7780304767,"quag_kleaf","103_2",-2,"quag_kleaf 103_2 -2 MPa","quag_kleaf 103_2",42.76,1.41,-0.00983492150192921,0.999617271122993,-0.420541243422493,-0.26932736850139,"v18",0
326.858118473322,"quag_kleaf","101_1",-2,"quag_kleaf 101_1 -2 MPa","quag_kleaf 101_1",42.08,0.096,-0.00317768211946821,0.997036136774568,-0.133716863587222,-18.4736977557735,"v18",0
326.867285966341,"quag_kleaf","132_1",-2,"quag_kleaf 132_1 -2 MPa","quag_kleaf 132_1",51.76,1.1,-0.0141100308403788,0.972557310726041,-0.730335196298006,-0.768505498213668,"v18",0
326.891623855299,"quag_kleaf","121_2",-2,"quag_kleaf 121_2 -2 MPa","quag_kleaf 121_2",42.3,1.18,-0.00607556693301872,0.954899673185814,-0.256996481266692,-0.235002932208088,"v18",0
326.90203313213,"quag_kleaf","121_1",-2,"quag_kleaf 121_1 -2 MPa","quag_kleaf 121_1",61.77,1.57,-0.0149339410698275,0.91965078555989,-0.922469539883245,-0.476499937925676,"v18",0
