"species","tree","branch","type","kstem","plc","treatment","leaf_area","kstem_leafarea"
"quag",121,1,"knative",0.0119676256265749,74.4859532722842,"unburned",0.0032382,3.69576481581585
"quag",134,1,"kmax",0.0264293580199745,0,"unburned",0.0026969,9.79990285882847
"quag",103,2,"kmax",0.0118609557167387,0,"unburned",0.0029763,3.98513446787579
"quag",132,1,"kmax",0.0203218211257092,0,"unburned",0.0030719,6.61539149246694
"quag",121,1,"kmax",0.0469060269203572,0,"unburned",0.0032382,14.4852161448821
"quag",114,3,"knative",0.037624307,-8.790023841,"unburned",0.0044223,8.50785948488343
"quag",116,2,"knative",0.044527217,-46.44408205,"unburned",0.0043682,10.1934932008608
"quag",116,1,"knative",0.015305433,-135.7289492,"unburned",0.0041625,3.6769809009009
"quag",134,3,"knative",0.017597219,-21.5092931,"unburned",0.0024998,7.03945075606048
"quag",114,3,"kmax",0.03687067,0,"unburned",0.0044223,8.33744205503923
"quag",116,2,"kmax",0.031394858,0,"unburned",0.0043682,7.18713840941349
"quag",116,1,"kmax",0.00683524,0,"unburned",0.0041625,1.6420996996997
"quag",134,3,"kmax",0.0144822,0,"unburned",0.0024998,5.7933434674774
"quag",114,1,"knative",0.0422618928018189,-9.4612854801724,"unburned",0.0027227,15.5220526689752
"quag",116,3,"knative",0.0163722740609527,29.2484917233539,"unburned",0.0023682,6.91338318594405
"quag",114,2,"knative",0.0249766870671992,-0.290467917241899,"unburned",0.0026458,9.44012664116683
"quag",132,3,"knative",0.0261799199241587,13.2448367823568,"unburned",0.0024199,10.8185957784035
"quag",121,3,"knative",0.0438321452971,13.6116599412578,"unburned",0.0040573,10.8032793476203
"quag",114,1,"kmax",0.0395336916723989,0,"unburned",0.0027227,14.5200322005358
"quag",116,3,"kmax",0.0231405300886806,0,"unburned",0.0023682,9.77135803085913
"quag",114,2,"kmax",0.0249860248125873,0,"unburned",0.0026458,9.44365591223347
"quag",132,3,"kmax",0.0301767859723587,0,"unburned",0.0024199,12.4702615696346
"quag",121,3,"kmax",0.0507384969630105,0,"unburned",0.0040573,12.5054831939986
